TransactionID,ICICI_AccountID,TransactionDate,TransactionType,Amount,Description
1,1,2024-11-12,Payment,4386.33,Velit asperiores fugiat accusantium vitae sit facere.
2,1,2024-11-18,Deposit,1435.26,Mollitia amet delectus fugit sit necessitatibus omnis.
3,1,2024-11-07,Transfer,5840.12,Quis consequuntur aperiam minima reprehenderit.
4,1,2024-11-13,Deposit,1786.71,Vero enim architecto magnam facere ad repellat.
5,1,2024-11-11,Transfer,48921.63,Omnis ducimus iure voluptate quaerat accusantium doloremque.
6,1,2024-11-10,Deposit,2818.77,Fugit dolorem praesentium quasi vitae aliquid iusto.
7,1,2024-11-08,Payment,3678.27,Non odio labore dignissimos neque.
8,1,2024-11-17,Withdrawal,5595.25,A quisquam excepturi consequatur iusto consequatur nemo eum.
9,1,2024-11-18,Withdrawal,7421.21,Veniam qui possimus vero.
10,1,2024-11-19,Transfer,29518.07,Illo esse aut maxime similique nemo quas.
11,1,2024-11-20,Payment,4066.72,Necessitatibus occaecati unde enim in debitis.
12,1,2024-11-18,Deposit,2596.04,Vel esse ipsa inventore vel debitis repudiandae amet.
13,1,2024-11-07,Withdrawal,7213.22,Architecto nihil ullam itaque.
14,2,2024-11-17,Withdrawal,8310.6,Itaque optio magni dolorum quidem dolores.
15,2,2024-11-08,Deposit,2994.49,Asperiores blanditiis officiis repellat fuga hic.
16,2,2024-11-18,Transfer,1439.51,Dolorem sint ad dolorum.
17,2,2024-11-19,Transfer,566.03,Et aliquam necessitatibus.
18,2,2024-11-21,Payment,1036.64,Quod quasi temporibus quaerat expedita dicta.
19,2,2024-11-06,Withdrawal,1858.3,Eaque in a deserunt.
20,2,2024-11-10,Payment,4396.3,Ullam suscipit cumque delectus.
21,2,2024-11-16,Deposit,7725.93,Ea neque id ullam quasi iste voluptate.
22,2,2024-11-13,Payment,3061.46,Debitis praesentium quis blanditiis ipsa.
23,2,2024-11-15,Payment,2143.07,Saepe modi fugiat quibusdam qui a labore provident.
24,2,2024-11-12,Withdrawal,7610.41,Nulla quam ipsam in placeat saepe occaecati esse.
25,2,2024-11-19,Payment,804.14,Quos beatae non deleniti suscipit.
26,2,2024-11-10,Withdrawal,5355.52,Beatae at nemo itaque ullam.
27,2,2024-11-07,Transfer,21713.01,Quasi dignissimos voluptatem blanditiis.
28,2,2024-11-13,Transfer,4373.93,Earum incidunt natus reprehenderit impedit.
29,2,2024-11-07,Transfer,8729.61,Quas nihil sint.
30,2,2024-11-18,Withdrawal,4622.4,Error accusamus quidem consequatur cupiditate temporibus.
31,2,2024-11-08,Withdrawal,1623.32,Pariatur ea dolore nam.
32,2,2024-11-10,Payment,3101.77,Aliquid quidem sed hic delectus illum.
33,2,2024-11-07,Transfer,16960.39,Sapiente culpa delectus.
34,2,2024-11-12,Withdrawal,9484.3,Provident quo laborum vel eos laudantium aut.
35,2,2024-11-18,Withdrawal,9996.17,Necessitatibus temporibus quibusdam.
36,2,2024-11-16,Payment,2370.12,Fugit optio qui minus at quisquam maxime.
37,2,2024-11-10,Withdrawal,1904.71,Fugiat similique corrupti occaecati velit nemo.
38,2,2024-11-20,Payment,164.96,Voluptatem doloremque possimus animi.
39,2,2024-11-08,Deposit,461.52,Sunt in officiis animi provident porro minus delectus.
40,2,2024-11-20,Withdrawal,6125.14,Dolores facilis rerum.
