TransactionID,SBI_AccountID,Date,Type_of_Transaction,Amount,Details
1,1,2021-11-28,Payment,4482.89,Asperiores aut vero.
2,1,2023-11-28,Withdrawal,3759.48,Consectetur error dignissimos illum ipsam incidunt.
3,1,2018-01-05,Payment,2297.21,Quam pariatur tempore mollitia quasi earum illo.
4,1,2018-05-19,Payment,2294.52,Repellendus libero nisi unde consequatur eaque voluptatibus.
5,1,2021-06-17,Deposit,7332.41,Nam hic asperiores exercitationem quo veritatis reiciendis odit.
6,1,2024-09-21,Withdrawal,6832.03,Voluptates ut quo saepe quod.
7,1,2024-07-22,Withdrawal,2388.05,Quam earum consequuntur deserunt magni esse nesciunt.
8,1,2023-11-27,Payment,4756.77,Nobis tempore illo quos.
9,1,2018-04-30,Transfer,47094.05,Nobis iure rerum quas reprehenderit soluta.
10,1,2020-01-07,Withdrawal,5980.12,Ipsa officia aliquid perspiciatis.
11,1,2021-10-18,Withdrawal,1767.46,Aut distinctio totam praesentium omnis commodi temporibus.
12,1,2021-03-25,Transfer,10808.78,Aliquam repellat delectus.
13,1,2019-02-08,Transfer,13564.87,Minus libero iste eveniet nisi.
14,1,2022-03-09,Transfer,37247.05,Commodi voluptatibus quod reiciendis architecto exercitationem consectetur.
15,1,2019-05-22,Deposit,4973.03,Magnam voluptate nemo eos est occaecati.
16,1,2022-09-05,Withdrawal,6580.07,Nesciunt fugiat vitae deleniti aperiam dicta molestias culpa.
17,1,2021-04-21,Withdrawal,603.82,Quos itaque vitae adipisci sequi qui occaecati.
18,1,2019-05-27,Deposit,7445.21,Odio maiores eligendi saepe.
19,1,2021-02-02,Transfer,26339.83,Ea cum beatae facere quaerat ea.
20,1,2023-08-23,Payment,3600.47,Tenetur vero voluptates voluptatum fugiat.
21,1,2017-06-16,Transfer,28422.05,Dicta saepe similique asperiores laboriosam occaecati laborum.
22,1,2023-11-23,Payment,2329.37,Nulla ipsa alias ipsa minus quidem numquam.
23,1,2018-11-22,Payment,364.42,Officia sint animi sunt.
24,1,2024-04-13,Payment,688.87,Quod rem temporibus enim.
25,1,2020-05-31,Deposit,3986.4,Repellat officiis omnis nesciunt.
26,1,2024-11-04,Transfer,36439.92,Nobis dolore neque minima.
27,1,2020-06-05,Withdrawal,9190.01,Voluptas aspernatur suscipit ipsum odio numquam adipisci.
28,1,2018-02-21,Payment,901.22,Eaque delectus rerum dignissimos minima neque deleniti et.
29,1,2023-09-24,Transfer,15550.6,Sed alias vitae accusantium ullam.
30,1,2017-06-13,Transfer,44634.67,Eligendi voluptates quis occaecati libero repudiandae odit qui.
